fighter,Age,AvgSigStrLanded,AvgSigStrPct,AvgSubAtt,AvgTDLanded,AvgTDPct,CurrentLoseStreak,CurrentWinStreak,DecOdds,Draws,ExpectedValue,HeightCms,LongestWinStreak,Losses,Odds,ReachCms,TotalRoundsFought,TotalTitleBouts,WeightLbs,Wins,WinsByDecisionMajority,WinsByDecisionSplit,WinsByDecisionUnanimous,WinsByKO,WinsBySubmission,WinsByTKODoctorStoppage
Alexandre Pantoja,29.9375,23.43452142857143,0.46273333333333333,1.1977800000000003,1.526666666666667,0.4616,0.1875,1.9375,193.78571428571428,0.0,63.179385714285715,165.1,2.8125,1.8125,-156.14285714285714,170.259375,18.8125,0.75,125.0,5.6875,0.0,1.125,1.3125,1.125,2.125,0.0
Kai Asakura,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,215.0,172.72,0.0,0.0,215.0,175.26,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shavkat Rakhmonov,27.571428571428573,3.3414285714285716,0.51,1.7428571428571427,1.0642857142857143,0.20714285714285713,0.0,3.0,275.0,0.0,41.39906666666667,185.42000000000002,3.0,0.0,-307.0,195.57999999999998,4.857142857142857,0.0,170.0,3.0,0.0,0.0,0.0,0.5714285714285714,2.4285714285714284,0.0
Ian Machado Garry,25.666666666666668,5.5,0.5499999999999999,0.3,0.77,0.5499999999999999,0.0,5.5,257.5,0.0,87.4186,190.5,5.5,0.0,-192.6,187.96,13.166666666666666,0.0,170.0,5.5,0.0,0.3333333333333333,2.6666666666666665,2.5,0.0,0.0
Ciryl Gane,31.416666666666668,5.201818181818182,0.557,0.6066666666666668,0.9341666666666667,0.3516666666666666,0.5,2.25,305.25,0.0,44.113683333333334,193.04,5.166666666666667,1.1666666666666667,-300.6666666666667,204.89333333333335,16.333333333333332,1.5,244.08333333333334,6.0,0.0,0.0,1.75,1.4166666666666667,1.5833333333333333,0.0
Alexander Volkov,31.6875,24.815113333333333,0.5741333333333333,0.14666666666666667,0.6479999999999999,0.609,0.1875,1.5625,354.0625,0.0,120.42711249999999,200.66,3.375,2.0625,-0.375,203.2,24.75,0.0,250.0,6.125,0.0,0.9375,2.0,3.0625,0.125,0.0
Bryce Mitchell,26.5,6.66625,0.5577777777777777,1.6666666666666667,2.847777777777778,0.38,0.2,2.2,138.25,0.0,69.5507,177.8,3.9,0.4,-193.75,177.82,11.6,0.0,145.0,4.1,0.9,0.0,2.5,0.0,0.7,0.0
Kron Gracie,32.75,4.21,0.425,0.6333333333333333,0.6066666666666666,0.25,0.75,0.25,763.25,0.0,214.656425,175.26,0.75,0.75,75.5,177.8,3.0,0.0,145.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0
Nate Landwehr,33.44444444444444,6.42625,0.41777777777777775,0.6666666666666666,0.6666666666666666,0.2733333333333333,0.3333333333333333,0.8888888888888888,376.6666666666667,0.0,146.45041111111112,175.26,1.6666666666666667,1.8888888888888888,49.44444444444444,182.88,8.0,0.0,145.0,2.3333333333333335,0.4444444444444444,0.0,0.6666666666666666,0.1111111111111111,0.8888888888888888,0.0
Dooho Choi,27.125,11.78945,0.5954285714285714,0.2285714285714286,0.32857142857142857,0.14142857142857143,0.75,0.875,462.125,0.25,68.5172,177.48250000000002,2.25,1.125,-158.75,177.8,6.0,0.0,145.0,2.375,0.0,0.0,0.0,2.375,0.0,0.0
